,description,industry,level,size,line_code,value
0,Type of outstanding debt: bank overdrafts,total,0,619 employees,D0201,13215
1,Type of outstanding debt: bank overdrafts,total,0,2049 employees,D0201,3405
2,Type of outstanding debt: bank overdrafts,total,0,5099 employees,D0201,978
3,Type of outstanding debt: bank overdrafts,total,0,100+ employees,D0201,687
4,Type of outstanding debt: bank overdrafts,"Agriculture, forestry, & fishing",1,total,D0201,1974
5,Type of outstanding debt: bank overdrafts,Agriculture,2,total,D0201,1371
6,Type of outstanding debt: bank overdrafts,Commercial fishing,2,total,D0201,24
7,Type of outstanding debt: bank overdrafts,Forestry & logging,2,total,D0201,117
8,Type of outstanding debt: bank overdrafts,"Agriculture, forestry, & fishing support services",2,total,D0201,465
9,Type of outstanding debt: bank overdrafts,Mining,1,total,D0201,30
10,Type of outstanding debt: bank overdrafts,Manufacturing,1,total,D0201,2424
11,Type of outstanding debt: bank overdrafts,"Food, beverage, & tobacco",2,total,D0201,474
12,Type of outstanding debt: bank overdrafts,"Textile, clothing, footwear, & leather",2,total,D0201,132
13,Type of outstanding debt: bank overdrafts,Wood & paper product,2,total,D0201,243
14,Type of outstanding debt: bank overdrafts,"Printing, publishing, & recorded media",2,total,D0201,90
15,Type of outstanding debt: bank overdrafts,"Petroleum, coal, chemical, & associated product",2,total,D0201,153
16,Type of outstanding debt: bank overdrafts,Non-metallic mineral product,2,total,D0201,87
17,Type of outstanding debt: bank overdrafts,Metal product,2,total,D0201,429
18,Type of outstanding debt: bank overdrafts,Transport and industrial machinery & equipment,2,total,D0201,546
19,Type of outstanding debt: bank overdrafts,Other machinery & equipment,2,total,D0201,102
20,Type of outstanding debt: bank overdrafts,Other manufacturing,2,total,D0201,165
21,Type of outstanding debt: bank overdrafts,"Electricity, gas, water, & waste services",1,total,D0201,54
22,Type of outstanding debt: bank overdrafts,Construction,1,total,D0201,2793
23,Type of outstanding debt: bank overdrafts,Wholesale trade,1,total,D0201,1395
24,Type of outstanding debt: bank overdrafts,Machinery & equipment wholesaling,2,total,D0201,315
25,Type of outstanding debt: bank overdrafts,Other wholesale trade,2,total,D0201,1080
26,Type of outstanding debt: bank overdrafts,Retail trade,1,total,D0201,1983
27,Type of outstanding debt: bank overdrafts,Accommodation & food services,1,total,D0201,2235
28,Type of outstanding debt: bank overdrafts,"Transport, postal, & warehousing",1,total,D0201,690
29,Type of outstanding debt: bank overdrafts,Information media & telecommunications,1,total,D0201,132
30,Type of outstanding debt: bank overdrafts,Publishing,2,total,D0201,63
31,Type of outstanding debt: bank overdrafts,Motion picture,2,total,D0201,33
32,Type of outstanding debt: bank overdrafts,Telecommunications,2,total,D0201,33
33,Type of outstanding debt: bank overdrafts,Financial & insurance services,1,total,D0201,168
34,Type of outstanding debt: bank overdrafts,Finance,2,total,D0201,60
35,Type of outstanding debt: bank overdrafts,Insurance,2,total,D0201,3
36,Type of outstanding debt: bank overdrafts,Auxiliary,2,total,D0201,108
37,Type of outstanding debt: bank overdrafts,"Rental, hiring, & real estate services",1,total,D0201,345
38,Type of outstanding debt: bank overdrafts,"Professional, scientific, & technical services",1,total,D0201,1410
39,Type of outstanding debt: bank overdrafts,Computer systems design,2,total,D0201,207
40,Type of outstanding debt: bank overdrafts,Other professional scientific,2,total,D0201,1206
41,Type of outstanding debt: bank overdrafts,Administrative & support services,1,total,D0201,600
42,Type of outstanding debt: bank overdrafts,Education & training,1,total,D0201,291
43,Type of outstanding debt: bank overdrafts,Health care & social assistance,1,total,D0201,876
44,Type of outstanding debt: bank overdrafts,Arts & recreation services,1,total,D0201,201
45,Type of outstanding debt: bank overdrafts,Other services,1,total,D0201,678
46,Type of outstanding debt: bank overdrafts,total,0,total,D0201,18288
47,Type of outstanding debt: loans with terms of one year or less,total,0,619 employees,D0202,6552
48,Type of outstanding debt: loans with terms of one year or less,total,0,2049 employees,D0202,1734
49,Type of outstanding debt: loans with terms of one year or less,total,0,5099 employees,D0202,606
50,Type of outstanding debt: loans with terms of one year or less,total,0,100+ employees,D0202,510
51,Type of outstanding debt: loans with terms of one year or less,"Agriculture, forestry, & fishing",1,total,D0202,807
52,Type of outstanding debt: loans with terms of one year or less,Agriculture,2,total,D0202,591
53,Type of outstanding debt: loans with terms of one year or less,Commercial fishing,2,total,D0202,9
54,Type of outstanding debt: loans with terms of one year or less,Forestry & logging,2,total,D0202,48
55,Type of outstanding debt: loans with terms of one year or less,"Agriculture, forestry, & fishing support services",2,total,D0202,162
56,Type of outstanding debt: loans with terms of one year or less,Mining,1,total,D0202,24
57,Type of outstanding debt: loans with terms of one year or less,Manufacturing,1,total,D0202,1239
58,Type of outstanding debt: loans with terms of one year or less,"Food, beverage, & tobacco",2,total,D0202,357
59,Type of outstanding debt: loans with terms of one year or less,"Textile, clothing, footwear, & leather",2,total,D0202,39
60,Type of outstanding debt: loans with terms of one year or less,Wood & paper product,2,total,D0202,165
61,Type of outstanding debt: loans with terms of one year or less,"Printing, publishing, & recorded media",2,total,D0202,45
62,Type of outstanding debt: loans with terms of one year or less,"Petroleum, coal, chemical, & associated product",2,total,D0202,57
63,Type of outstanding debt: loans with terms of one year or less,Non-metallic mineral product,2,total,D0202,27
64,Type of outstanding debt: loans with terms of one year or less,Metal product,2,total,D0202,228
65,Type of outstanding debt: loans with terms of one year or less,Transport and industrial machinery & equipment,2,total,D0202,180
66,Type of outstanding debt: loans with terms of one year or less,Other machinery & equipment,2,total,D0202,54
67,Type of outstanding debt: loans with terms of one year or less,Other manufacturing,2,total,D0202,84
68,Type of outstanding debt: loans with terms of one year or less,"Electricity, gas, water, & waste services",1,total,D0202,39
69,Type of outstanding debt: loans with terms of one year or less,Construction,1,total,D0202,1605
70,Type of outstanding debt: loans with terms of one year or less,Wholesale trade,1,total,D0202,669
71,Type of outstanding debt: loans with terms of one year or less,Machinery & equipment wholesaling,2,total,D0202,201
72,Type of outstanding debt: loans with terms of one year or less,Other wholesale trade,2,total,D0202,468
73,Type of outstanding debt: loans with terms of one year or less,Retail trade,1,total,D0202,1224
74,Type of outstanding debt: loans with terms of one year or less,Accommodation & food services,1,total,D0202,1065
75,Type of outstanding debt: loans with terms of one year or less,"Transport, postal, & warehousing",1,total,D0202,336
76,Type of outstanding debt: loans with terms of one year or less,Information media & telecommunications,1,total,D0202,57
77,Type of outstanding debt: loans with terms of one year or less,Publishing,2,total,D0202,9
78,Type of outstanding debt: loans with terms of one year or less,Motion picture,2,total,D0202,24
79,Type of outstanding debt: loans with terms of one year or less,Telecommunications,2,total,D0202,21
80,Type of outstanding debt: loans with terms of one year or less,Financial & insurance services,1,total,D0202,126
81,Type of outstanding debt: loans with terms of one year or less,Finance,2,total,D0202,72
82,Type of outstanding debt: loans with terms of one year or less,Insurance,2,total,D0202,3
83,Type of outstanding debt: loans with terms of one year or less,Auxiliary,2,total,D0202,54
84,Type of outstanding debt: loans with terms of one year or less,"Rental, hiring, & real estate services",1,total,D0202,147
85,Type of outstanding debt: loans with terms of one year or less,"Professional, scientific, & technical services",1,total,D0202,750
86,Type of outstanding debt: loans with terms of one year or less,Computer systems design,2,total,D0202,66
87,Type of outstanding debt: loans with terms of one year or less,Other professional scientific,2,total,D0202,684
88,Type of outstanding debt: loans with terms of one year or less,Administrative & support services,1,total,D0202,246
89,Type of outstanding debt: loans with terms of one year or less,Education & training,1,total,D0202,138
90,Type of outstanding debt: loans with terms of one year or less,Health care & social assistance,1,total,D0202,456
91,Type of outstanding debt: loans with terms of one year or less,Arts & recreation services,1,total,D0202,87
92,Type of outstanding debt: loans with terms of one year or less,Other services,1,total,D0202,375
93,Type of outstanding debt: loans with terms of one year or less,total,0,total,D0202,9402
94,Type of outstanding debt: loans with terms of more than one year,total,0,619 employees,D0203,15117
95,Type of outstanding debt: loans with terms of more than one year,total,0,2049 employees,D0203,4038
96,Type of outstanding debt: loans with terms of more than one year,total,0,5099 employees,D0203,1071
97,Type of outstanding debt: loans with terms of more than one year,total,0,100+ employees,D0203,795
98,Type of outstanding debt: loans with terms of more than one year,"Agriculture, forestry, & fishing",1,total,D0203,1860
99,Type of outstanding debt: loans with terms of more than one year,Agriculture,2,total,D0203,1200
100,Type of outstanding debt: loans with terms of more than one year,Commercial fishing,2,total,D0203,24
101,Type of outstanding debt: loans with terms of more than one year,Forestry & logging,2,total,D0203,195
102,Type of outstanding debt: loans with terms of more than one year,"Agriculture, forestry, & fishing support services",2,total,D0203,444
103,Type of outstanding debt: loans with terms of more than one year,Mining,1,total,D0203,51
104,Type of outstanding debt: loans with terms of more than one year,Manufacturing,1,total,D0203,2694
105,Type of outstanding debt: loans with terms of more than one year,"Food, beverage, & tobacco",2,total,D0203,603
106,Type of outstanding debt: loans with terms of more than one year,"Textile, clothing, footwear, & leather",2,total,D0203,129
107,Type of outstanding debt: loans with terms of more than one year,Wood & paper product,2,total,D0203,261
108,Type of outstanding debt: loans with terms of more than one year,"Printing, publishing, & recorded media",2,total,D0203,105
109,Type of outstanding debt: loans with terms of more than one year,"Petroleum, coal, chemical, & associated product",2,total,D0203,222
110,Type of outstanding debt: loans with terms of more than one year,Non-metallic mineral product,2,total,D0203,90
111,Type of outstanding debt: loans with terms of more than one year,Metal product,2,total,D0203,450
112,Type of outstanding debt: loans with terms of more than one year,Transport and industrial machinery & equipment,2,total,D0203,543
113,Type of outstanding debt: loans with terms of more than one year,Other machinery & equipment,2,total,D0203,93
114,Type of outstanding debt: loans with terms of more than one year,Other manufacturing,2,total,D0203,198
115,Type of outstanding debt: loans with terms of more than one year,"Electricity, gas, water, & waste services",1,total,D0203,129
116,Type of outstanding debt: loans with terms of more than one year,Construction,1,total,D0203,3318
117,Type of outstanding debt: loans with terms of more than one year,Wholesale trade,1,total,D0203,1209
